| time  |reset|ARegister|DRegister|PC[]|RAM64[16]|RAM64[17]|RAM64[18]|
| 94    |  0  |      18 |     -93 |  10|       7 |      21 |       0 |
| 95    |  0  |      16 |     -93 |  11|       7 |      21 |       0 |
| 96    |  0  |      16 |       7 |  12|       7 |      21 |       0 |
| 97    |  0  |      17 |       7 |  13|       7 |      21 |       0 |
| 98    |  0  |      17 |       7 |  14|       7 |      28 |       0 |
| 99    |  0  |      16 |       7 |  15|       7 |      28 |       0 |
| 100   |  0  |      16 |       7 |  16|       8 |      28 |       0 |
| 101   |  0  |       4 |       7 |  17|       8 |      28 |       0 |
| 102   |  0  |       4 |       7 |   4|       8 |      28 |       0 |
| 103   |  0  |      16 |       7 |   5|       8 |      28 |       0 |
| 104   |  0  |      16 |       8 |   6|       8 |      28 |       0 |
| 105   |  0  |     100 |       8 |   7|       8 |      28 |       0 |
| 106   |  0  |     100 |     -92 |   8|       8 |      28 |       0 |
| 107   |  0  |      18 |     -92 |   9|       8 |      28 |       0 |
| 108   |  0  |      18 |     -92 |  10|       8 |      28 |       0 |
| 109   |  0  |      16 |     -92 |  11|       8 |      28 |       0 |
| 110   |  0  |      16 |       8 |  12|       8 |      28 |       0 |
| 111   |  0  |      17 |       8 |  13|       8 |      28 |       0 |
| 112   |  0  |      17 |       8 |  14|       8 |      36 |       0 |
| 113   |  0  |      16 |       8 |  15|       8 |      36 |       0 |
| 114   |  0  |      16 |       8 |  16|       9 |      36 |       0 |
| 115   |  0  |       4 |       8 |  17|       9 |      36 |       0 |
| 116   |  0  |       4 |       8 |   4|       9 |      36 |       0 |
| 117   |  0  |      16 |       8 |   5|       9 |      36 |       0 |
| 118   |  0  |      16 |       9 |   6|       9 |      36 |       0 |
| 119   |  0  |     100 |       9 |   7|       9 |      36 |       0 |
| 120   |  0  |     100 |     -91 |   8|       9 |      36 |       0 |
| 121   |  0  |      18 |     -91 |   9|       9 |      36 |       0 |
| 122   |  0  |      18 |     -91 |  10|       9 |      36 |       0 |
| 123   |  0  |      16 |     -91 |  11|       9 |      36 |       0 |
| 124   |  0  |      16 |       9 |  12|       9 |      36 |       0 |
| 125   |  0  |      17 |       9 |  13|       9 |      36 |       0 |
| 126   |  0  |      17 |       9 |  14|       9 |      45 |       0 |
| 127   |  0  |      16 |       9 |  15|       9 |      45 |       0 |
| 128   |  0  |      16 |       9 |  16|      10 |      45 |       0 |
| 129   |  0  |       4 |       9 |  17|      10 |      45 |       0 |
| 130   |  0  |       4 |       9 |   4|      10 |      45 |       0 |
| 131   |  0  |      16 |       9 |   5|      10 |      45 |       0 |
| 132   |  0  |      16 |      10 |   6|      10 |      45 |       0 |
| 133   |  0  |     100 |      10 |   7|      10 |      45 |       0 |
| 134   |  0  |     100 |     -90 |   8|      10 |      45 |       0 |
| 135   |  0  |      18 |     -90 |   9|      10 |      45 |       0 |
| 136   |  0  |      18 |     -90 |  10|      10 |      45 |       0 |
| 137   |  0  |      16 |     -90 |  11|      10 |      45 |       0 |
| 138   |  0  |      16 |      10 |  12|      10 |      45 |       0 |
| 139   |  0  |      17 |      10 |  13|      10 |      45 |       0 |
| 140   |  0  |      17 |      10 |  14|      10 |      55 |       0 |
| 141   |  0  |      16 |      10 |  15|      10 |      55 |       0 |
| 142   |  0  |      16 |      10 |  16|      11 |      55 |       0 |
| 143   |  0  |       4 |      10 |  17|      11 |      55 |       0 |
| 144   |  0  |       4 |      10 |   4|      11 |      55 |       0 |
| 145   |  0  |      16 |      10 |   5|      11 |      55 |       0 |
| 146   |  0  |      16 |      11 |   6|      11 |      55 |       0 |
| 147   |  0  |     100 |      11 |   7|      11 |      55 |       0 |
| 148   |  0  |     100 |     -89 |   8|      11 |      55 |       0 |
| 149   |  0  |      18 |     -89 |   9|      11 |      55 |       0 |
| 150   |  0  |      18 |     -89 |  10|      11 |      55 |       0 |
| 151   |  0  |      16 |     -89 |  11|      11 |      55 |       0 |
| 152   |  0  |      16 |      11 |  12|      11 |      55 |       0 |
| 153   |  0  |      17 |      11 |  13|      11 |      55 |       0 |
| 154   |  0  |      17 |      11 |  14|      11 |      66 |       0 |
| 155   |  0  |      16 |      11 |  15|      11 |      66 |       0 |
| 156   |  0  |      16 |      11 |  16|      12 |      66 |       0 |
| 157   |  0  |       4 |      11 |  17|      12 |      66 |       0 |
| 158   |  0  |       4 |      11 |   4|      12 |      66 |       0 |
| 159   |  0  |      16 |      11 |   5|      12 |      66 |       0 |
| 160   |  0  |      16 |      12 |   6|      12 |      66 |       0 |
| 161   |  0  |     100 |      12 |   7|      12 |      66 |       0 |
| 162   |  0  |     100 |     -88 |   8|      12 |      66 |       0 |
| 163   |  0  |      18 |     -88 |   9|      12 |      66 |       0 |
| 164   |  0  |      18 |     -88 |  10|      12 |      66 |       0 |
| 165   |  0  |      16 |     -88 |  11|      12 |      66 |       0 |
| 166   |  0  |      16 |      12 |  12|      12 |      66 |       0 |
| 167   |  0  |      17 |      12 |  13|      12 |      66 |       0 |
| 168   |  0  |      17 |      12 |  14|      12 |      78 |       0 |
| 169   |  0  |      16 |      12 |  15|      12 |      78 |       0 |
| 170   |  0  |      16 |      12 |  16|      13 |      78 |       0 |
| 171   |  0  |       4 |      12 |  17|      13 |      78 |       0 |
| 172   |  0  |       4 |      12 |   4|      13 |      78 |       0 |
| 173   |  0  |      16 |      12 |   5|      13 |      78 |       0 |
| 174   |  0  |      16 |      13 |   6|      13 |      78 |       0 |
| 175   |  0  |     100 |      13 |   7|      13 |      78 |       0 |
| 176   |  0  |     100 |     -87 |   8|      13 |      78 |       0 |
| 177   |  0  |      18 |     -87 |   9|      13 |      78 |       0 |
| 178   |  0  |      18 |     -87 |  10|      13 |      78 |       0 |
| 179   |  0  |      16 |     -87 |  11|      13 |      78 |       0 |
| 180   |  0  |      16 |      13 |  12|      13 |      78 |       0 |
| 181   |  0  |      17 |      13 |  13|      13 |      78 |       0 |
| 182   |  0  |      17 |      13 |  14|      13 |      91 |       0 |
| 183   |  0  |      16 |      13 |  15|      13 |      91 |       0 |
| 184   |  0  |      16 |      13 |  16|      14 |      91 |       0 |
| 185   |  0  |       4 |      13 |  17|      14 |      91 |       0 |
| 186   |  0  |       4 |      13 |   4|      14 |      91 |       0 |
| 187   |  0  |      16 |      13 |   5|      14 |      91 |       0 |
| 188   |  0  |      16 |      14 |   6|      14 |      91 |       0 |
| 189   |  0  |     100 |      14 |   7|      14 |      91 |       0 |
| 190   |  0  |     100 |     -86 |   8|      14 |      91 |       0 |
| 191   |  0  |      18 |     -86 |   9|      14 |      91 |       0 |
| 192   |  0  |      18 |     -86 |  10|      14 |      91 |       0 |
| 193   |  0  |      16 |     -86 |  11|      14 |      91 |       0 |
| 194   |  0  |      16 |      14 |  12|      14 |      91 |       0 |
| 195   |  0  |      17 |      14 |  13|      14 |      91 |       0 |
| 196   |  0  |      17 |      14 |  14|      14 |     105 |       0 |
| 197   |  0  |      16 |      14 |  15|      14 |     105 |       0 |
| 198   |  0  |      16 |      14 |  16|      15 |     105 |       0 |
| 199   |  0  |       4 |      14 |  17|      15 |     105 |       0 |
| 200   |  0  |       4 |      14 |   4|      15 |     105 |       0 |
| 201   |  0  |      16 |      14 |   5|      15 |     105 |       0 |
| 202   |  0  |      16 |      15 |   6|      15 |     105 |       0 |
| 203   |  0  |     100 |      15 |   7|      15 |     105 |       0 |
| 204   |  0  |     100 |     -85 |   8|      15 |     105 |       0 |
| 205   |  0  |      18 |     -85 |   9|      15 |     105 |       0 |
| 206   |  0  |      18 |     -85 |  10|      15 |     105 |       0 |
| 207   |  0  |      16 |     -85 |  11|      15 |     105 |       0 |
| 208   |  0  |      16 |      15 |  12|      15 |     105 |       0 |
| 209   |  0  |      17 |      15 |  13|      15 |     105 |       0 |
| 210   |  0  |      17 |      15 |  14|      15 |     120 |       0 |
| 211   |  0  |      16 |      15 |  15|      15 |     120 |       0 |
| 212   |  0  |      16 |      15 |  16|      16 |     120 |       0 |
| 213   |  0  |       4 |      15 |  17|      16 |     120 |       0 |
| 214   |  0  |       4 |      15 |   4|      16 |     120 |       0 |
| 215   |  0  |      16 |      15 |   5|      16 |     120 |       0 |
| 216   |  0  |      16 |      16 |   6|      16 |     120 |       0 |
| 217   |  0  |     100 |      16 |   7|      16 |     120 |       0 |
| 218   |  0  |     100 |     -84 |   8|      16 |     120 |       0 |
| 219   |  0  |      18 |     -84 |   9|      16 |     120 |       0 |
| 220   |  0  |      18 |     -84 |  10|      16 |     120 |       0 |
| 221   |  0  |      16 |     -84 |  11|      16 |     120 |       0 |
| 222   |  0  |      16 |      16 |  12|      16 |     120 |       0 |
| 223   |  0  |      17 |      16 |  13|      16 |     120 |       0 |
| 224   |  0  |      17 |      16 |  14|      16 |     136 |       0 |
| 225   |  0  |      16 |      16 |  15|      16 |     136 |       0 |
| 226   |  0  |      16 |      16 |  16|      17 |     136 |       0 |
| 227   |  0  |       4 |      16 |  17|      17 |     136 |       0 |
| 228   |  0  |       4 |      16 |   4|      17 |     136 |       0 |
| 229   |  0  |      16 |      16 |   5|      17 |     136 |       0 |
| 230   |  0  |      16 |      17 |   6|      17 |     136 |       0 |
| 231   |  0  |     100 |      17 |   7|      17 |     136 |       0 |
| 232   |  0  |     100 |     -83 |   8|      17 |     136 |       0 |
| 233   |  0  |      18 |     -83 |   9|      17 |     136 |       0 |
| 234   |  0  |      18 |     -83 |  10|      17 |     136 |       0 |
| 235   |  0  |      16 |     -83 |  11|      17 |     136 |       0 |
| 236   |  0  |      16 |      17 |  12|      17 |     136 |       0 |
| 237   |  0  |      17 |      17 |  13|      17 |     136 |       0 |
| 238   |  0  |      17 |      17 |  14|      17 |     153 |       0 |
| 239   |  0  |      16 |      17 |  15|      17 |     153 |       0 |
| 240   |  0  |      16 |      17 |  16|      18 |     153 |       0 |
| 241   |  0  |       4 |      17 |  17|      18 |     153 |       0 |
| 242   |  0  |       4 |      17 |   4|      18 |     153 |       0 |
| 243   |  0  |      16 |      17 |   5|      18 |     153 |       0 |
| 244   |  0  |      16 |      18 |   6|      18 |     153 |       0 |
| 245   |  0  |     100 |      18 |   7|      18 |     153 |       0 |
